id,date,url,views,funnel_role,persona_bits,anger_target,product_mentioned,hook,note
DTpVZGmiSVs,2026-01-18,https://www.instagram.com/reel/DTpVZGmiSVs/,11000,신뢰,자기서사|고객편에서는순간,,N,인생을 행복하게 사는 방법 10가지,행복법 시리즈 형식이지만 본문 대부분이 산정특례 2개·자궁선근증 수술 등 본인 투병 서사 — 당사자성 신뢰
DTr1LbZCdV4,2026-01-19,https://www.instagram.com/reel/DTr1LbZCdV4/,11000,유입,도발사이다|자기서사,,N,나를 소모시키는 관계에서 벗어나는 거예요,"관계 정리라는 넓은 대중 담론이 본체, 개인 일화는 예시 수준"
DTuwOc2idr2,2026-01-20,https://www.instagram.com/reel/DTuwOc2idr2/,31000,유입,자기서사|유머,,N,자연 임신으로 한방이 또방이 되는 비결,"임신·성별 속설이라는 대중 육아 소재, 피부/제품과 무관"
DTxMHmSiQzn,2026-01-21,https://www.instagram.com/reel/DTxMHmSiQzn/,37000,유입,도발사이다|자기서사|유머,,N,시어머니라는 단어만 들어도 불편하지?,고부 갈등 처세 꿀팁 — 전형적 도달용 관계담론
DTzmuuNibs-,2026-01-22,https://www.instagram.com/reel/DTzmuuNibs-/,33000,신뢰,자기서사,,N,월 매출 4천만원 하면서 연년생 키우는,경단녀→예비창업패키지→월매출 4천 창업서사 + 자가면역질환 당사자성
DT4-Xi2iTYp,2026-01-24,https://www.instagram.com/reel/DT4-Xi2iTYp/,23000,유입,유머,,N,출근하면서 노래부르는게 취미인 워킹맘,"노래 커버 릴스, 90년대 향수로 도달 노림 (전사는 가사뿐이라 캡션만 기준)"
DT-GC5uiSbZ,2026-01-26,https://www.instagram.com/reel/DT-GC5uiSbZ/,24000,유입,유머,,N,지금도 저의 노래방 최애곡,노래 커버 도달용 (전사 가사뿐 — 캡션만)
DT94115CT6z,2026-01-26,https://www.instagram.com/reel/DT94115CT6z/,22000,유입,유머,,N,이 노래 기억나?,노래 커버 도달용 (전사 반복구뿐 — 캡션만)
DUAWz9LCaRC,2026-01-27,https://www.instagram.com/reel/DUAWz9LCaRC/,43000,신뢰,자기서사|분노,기타,N,내가 지금까지 총 면접을 두 명이나 봤거든?,면접 노쇼 겪은 초보사장 서사 — 대표로서의 실제 운영 고충 공개
DUAXnreCUIj,2026-01-27,https://www.instagram.com/reel/DUAXnreCUIj/,7514000,유입,도발사이다|유머,,N,처음부터 잘맞는 고부는 없는것같아요,"751만뷰 고부 서사 — 가장 넓은 대중 소재 (전사 무의미, 캡션만)"
DUAsatNCUE3,2026-01-27,https://www.instagram.com/reel/DUAsatNCUE3/,25000,유입,유머,,N,진짜 최최최최애곡,노래 커버 도달용 (전사 가사뿐 — 캡션만)
DUA51lyiZ1Z,2026-01-28,https://www.instagram.com/reel/DUA51lyiZ1Z/,16000,유입,유머,,N,한국인이 가장 사랑하는 ost 1위,노래 커버 도달용 (전사 가사뿐 — 캡션만)
DUFmojdCW79,2026-01-29,https://www.instagram.com/reel/DUFmojdCW79/,15000,유입,유머,,N,선물로 주셨거든요? 표정부터 봐,선물받은 책 리액션 유머 — 도달용
DUFmtoZCWm3,2026-01-29,https://www.instagram.com/reel/DUFmtoZCWm3/,16000,유입,자기서사,,N,무슨 일이야? 이거 봐. 싹 올라갔어,"타사 시술 내돈내산 후기 + DM 유도, AD솔루션과 무관한 뷰티 도달 소재"
DUIXM7ziTag,2026-01-30,https://www.instagram.com/reel/DUIXM7ziTag/,421000,유입,도발사이다|분노,고객대변,N,애는 그럴수있지 시끄러울수도 있고,"어린이집 원장·어른 책임 겨냥 도발 (전사없음, 캡션만)"
DUIUgOUCV3i,2026-01-31,https://www.instagram.com/reel/DUIUgOUCV3i/,29000,유입,도발사이다|분노,고객대변,N,남편의 할머니 제사만 며느리가 지낸다?,"제사 강요라는 통념·구조를 향한 분노, 대중 공감 도달"
DULBWrUiTlX,2026-02-01,https://www.instagram.com/reel/DULBWrUiTlX/,32000,유입,자기서사|유머,,N,애 낳기 전에 나는 애들이 왜 시끄러울까,육아 전후 인식차 공감 — 대중 육아 소재
DUNj1nFiXro,2026-02-02,https://www.instagram.com/reel/DUNj1nFiXro/,21000,신뢰,자기서사,,N,처음 사업을 시작했을땐 둘째가 15개월,"15개월 아이 두고 시작한 창업 3년차 서사 (전사 무의미, 캡션만)"
DUSkMHxCctI,2026-02-03,https://www.instagram.com/reel/DUSkMHxCctI/,14000,유입,유머,,N,샤갈 일이나 열심히 할게요,노래 커버 도달용 (전사 가사뿐 — 캡션만)
DUYCk1XCeHM,2026-02-06,https://www.instagram.com/reel/DUYCk1XCeHM/,17000,유입,도발사이다|자기서사,,N,꼭 20대들한테 해주고 싶은 말이 있어,20대 대상 인생조언 — 넓은 대중 소재
DUaRjpOidQn,2026-02-06,https://www.instagram.com/reel/DUaRjpOidQn/,111000,유입,도발사이다|유머,,N,에겐녀들은 테토남을 만나는 게 좋아,"테토·에겐 밈 활용한 연애담론, 도달 극대화용"
DUauiVVCeRC,2026-02-07,https://www.instagram.com/reel/DUauiVVCeRC/,314000,유입,도발사이다|유머,,N,선 넘는 시어머니한테 할 수 있는 3가지,고부 사이다 처세 — 31만뷰 도달용
DUaW_yOCUXY,2026-02-08,https://www.instagram.com/reel/DUaW_yOCUXY/,34000,유입,고객편에서는순간|유머,,N,엄마들 이거 나만 그래,육아 공감 밈 — 도달용
DUdBsrTCU0q,2026-02-08,https://www.instagram.com/reel/DUdBsrTCU0q/,332000,유입,도발사이다|유머,,N,육아도 일도 솔직히 할만해요,"워킹맘 자신감+남편 밈 (전사없음, 캡션만)"
DUfduyujOGS,2026-02-08,https://www.instagram.com/reel/DUfduyujOGS/,1463000,유입,도발사이다|유머,,N,테토녀들은 절대로 테토남 만나지 마,146만뷰 테토·에겐 연애담론 — 최대 도달 소재
DUkksbfiSkA,2026-02-11,https://www.instagram.com/reel/DUkksbfiSkA/,79000,유입,도발사이다|유머|고객편에서는순간,,N,내가 에겐남 길들이는 방법을 알려줄게,"남편 출연 연애담론, 악플 언급은 부가 — 도달이 주목적"
DUm7y-7Ca-u,2026-02-11,https://www.instagram.com/reel/DUm7y-7Ca-u/,58000,유입,유머,,N,아주 잠시 두바이를 다녀왔습니다,"두바이 여행 밈 클립 (전사 무의미, 캡션만)"
DUnH9gXCfz0,2026-02-12,https://www.instagram.com/reel/DUnH9gXCfz0/,98000,유입,유머|고객편에서는순간,,N,둘째로 살아남는 방법,아이와의 둘째 처세 대화 — 육아 유머 도달
DUnZ_lsDOBe,2026-02-12,https://www.instagram.com/reel/DUnZ_lsDOBe/,36000,신뢰,자기서사,,N,비지니스 미팅 + 시장조사 + 결혼기념일,"해외 비즈니스 미팅·시장조사 행보 공개 (전사 무의미, 캡션만)"
DUpzNklCeh6,2026-02-13,https://www.instagram.com/reel/DUpzNklCeh6/,47000,유입,유머|고객편에서는순간,,N,내가 왜 좋아? 예뻐서,남편 인터뷰 형식 부부담론 — 도달용
